24075,3,5,8,18,28,22
24076,24,27,29,32,3,22
24077,1,6,14,17,4,22
24078,9,14,21,26,5,22
24079,2,3,7,16,26,None
24080,12,27,29,30,6,11
24081,17,23,25,1,6,12
24082,1,16,17,2,13,29
24083,9,32,33,3,14,29
24084,1,8,10,13,19,29
24085,1,5,15,23,27,21
24086,17,23,25,31,19,20
24087,9,26,3,20
24088,8,10,32,3,17,30
24089,6,9,15,3,18,31
24090,7,11,24,31,17,32
24091,15,19,20,24,13,16
24092,3,18,29,8,11,12
24093,1,5,15,7,11,12
24094,17,22,25,27,6,13
24095,6,9,16,21,4,14
24096,2,14,18,23,27,4
24097,10,12,13,18,30,4
24098,3,8,10,20,30,31,None
24099,4,12,17,24,26,27,None
24100,13,14,19,27,30,20
24101,8,12,15,17,30,19
24102,9,15,21,25,18,22
24103,12,21,27,32,33,23
24104,5,16,23,26,29,24
24105,2,5,17,19,29,33,None
24106,3,11,22,31,33,8
24107,1,6,13,17,19,8
24108,1,9,24,30,8,23
24109,3,28,29,33,4
24110,17,33,4,13,23,25
24111,1,11,30,4,12,22
24112,8,16,29,32,11,25
24113,4,5,23,24,31,26
24114,7,11,24,32,18,27
24115,3,10,11,27,19,28
24116,1,15,22,31,32,20
24117,3,12,14,16,29,32,None
24118,6,11,15,2,4
24119,9,26,27,31,32,2
24120,5,18,19,1,7,11
24121,1,13,27,33,7,10
24122,5,17,29,7,9,16
24123,2,22,26,33,15,30
24124,2,15,17,25,14,30
24125,1,4,18,26,13,30
24126,14,18,23,24,26,33,None
24127,2,5,20,27,32,13
24128,1,8,18,20,26,13
24129,9,10,19,24,32,None
24130,1,8,17,19,24,12
24131,4,5,15,20,32,11
24132,1,4,25,27,28,33,None
24133,1,11,27,30,33,15
24134,2,4,13,18,20,16
24135,5,11,18,30,31,17
24136,3,11,15,21,25,26
24137,4,9,10,19,26,27
24138,2,7,11,21,27,28
24139,15,16,20,22,23,29
24140,4,7,17,22,26,8
24141,1,2,15,24,29,7
24142,4,13,21,22,25,6
24143,2,11,22,33,5,30
24144,9,11,17,20,2,30
24145,1,16,22,3,23,30
24146,2,11,27,32,4,22
24147,11,13,30,5,16,21
24148,2,15,21,23,6,16
24149,3,9,22,17,18
24150,13,14,22,26,32,20
24151,5,10,16,29,32,19
25001,2,3,17,22,33,18
25002,9,12,13,15,22,26,None
25003,10,19,20,29,26,28
25004,3,7,17,32,27,29
25005,10,27,16,19,28,30
25006,1,8,22,7,17,20
25007,7,14,27,8,18,21
25008,14,16,17,25,33,9
25009,2,4,11,12,23,25,None
25010,4,6,7,17,21,16
25011,6,13,22,24,29,17
25012,7,11,13,27,31,18
25013,4,14,16,23,24,30,None
25014,6,7,9,13,21,27,None
25015,4,11,15,24,25,33,None
25016,2,3,12,16,20,29
25017,4,12,15,28,18,29
25018,3,9,21,28,29
25019,5,13,22,23,17,18
25020,4,11,13,26,30,16
25021,7,8,16,18,25,32,None
25022,11,17,18,20,28,30,None
25023,9,12,13,24,25,33,None
